,id,terrestrial_date,sol,ls,month,min_temp,pressure
936,963,2015-07-01,1031,6,1,-76.0,854.0
937,962,2015-07-02,1032,6,1,-74.0,854.0
938,965,2015-07-03,1033,7,1,-77.0,856.0
939,964,2015-07-04,1034,7,1,-76.0,859.0
940,966,2015-07-05,1035,8,1,-77.0,857.0
941,967,2015-07-06,1036,8,1,-76.0,856.0
942,968,2015-07-07,1037,9,1,-80.0,856.0
943,969,2015-07-08,1038,9,1,-76.0,858.0
944,970,2015-07-09,1039,10,1,-77.0,857.0
945,972,2015-07-10,1040,10,1,-77.0,858.0
946,971,2015-07-11,1041,11,1,-77.0,859.0
947,973,2015-07-12,1042,11,1,-76.0,859.0
948,974,2015-07-13,1043,12,1,-77.0,860.0
949,975,2015-07-14,1044,12,1,-79.0,860.0
950,978,2015-07-15,1045,13,1,-80.0,861.0
951,979,2015-07-16,1046,13,1,-77.0,862.0
952,977,2015-07-17,1047,14,1,-77.0,863.0
953,976,2015-07-18,1048,14,1,-78.0,864.0
954,980,2015-07-19,1049,15,1,-75.0,864.0
955,981,2015-07-20,1050,15,1,-76.0,863.0
956,983,2015-07-21,1051,16,1,-76.0,864.0
957,982,2015-07-23,1052,16,1,-78.0,865.0
958,984,2015-07-24,1053,17,1,-79.0,865.0
959,985,2015-07-25,1054,17,1,-77.0,867.0
960,987,2015-07-26,1055,17,1,-77.0,868.0
961,986,2015-07-27,1056,18,1,-76.0,868.0
962,988,2015-07-28,1057,18,1,-78.0,867.0
963,989,2015-07-29,1058,19,1,-78.0,868.0
964,990,2015-07-30,1059,19,1,-78.0,870.0
965,992,2015-07-31,1060,20,1,-78.0,870.0
966,993,2015-08-01,1061,20,1,-77.0,871.0
967,991,2015-08-02,1062,21,1,-77.0,871.0
968,994,2015-08-03,1063,21,1,-79.0,871.0
969,996,2015-08-04,1064,22,1,-77.0,871.0
970,995,2015-08-05,1065,22,1,-78.0,873.0
971,997,2015-08-06,1066,23,1,-78.0,875.0
972,998,2015-08-07,1067,23,1,-79.0,875.0
973,1000,2015-08-08,1068,24,1,-76.0,874.0
974,999,2015-08-09,1069,24,1,-77.0,876.0
975,1001,2015-08-10,1070,25,1,-80.0,877.0
976,1002,2015-08-11,1071,25,1,-78.0,878.0
977,1003,2015-08-12,1072,26,1,-78.0,879.0
978,1004,2015-08-13,1073,26,1,-82.0,879.0
979,1005,2015-08-14,1074,27,1,-77.0,878.0
980,1006,2015-08-15,1075,27,1,-77.0,879.0
981,1007,2015-08-16,1076,28,1,-81.0,880.0
982,1008,2015-08-17,1077,28,1,-79.0,880.0
983,1009,2015-08-18,1078,29,1,-80.0,881.0
984,1010,2015-08-19,1079,29,1,-80.0,882.0
985,1013,2015-08-20,1080,29,1,-77.0,882.0
1579,1606,2017-05-06,1688,0,1,-76.0,840.0
1580,1610,2017-05-07,1689,0,1,-75.0,840.0
1581,1609,2017-05-08,1690,1,1,-76.0,840.0
1582,1614,2017-05-10,1692,2,1,-62.0,820.0
1583,1612,2017-05-11,1693,2,1,-76.0,840.0
1584,1613,2017-05-12,1694,3,1,-76.0,840.0
1585,1611,2017-05-13,1695,3,1,-77.0,840.0
1586,1615,2017-05-14,1696,4,1,-75.0,841.0
1587,1616,2017-05-15,1697,4,1,-77.0,841.0
1588,1618,2017-05-16,1698,5,1,-77.0,842.0
1589,1617,2017-05-17,1699,5,1,-76.0,843.0
1590,1619,2017-05-18,1700,6,1,-76.0,842.0
1591,1620,2017-05-19,1701,6,1,-76.0,841.0
1592,1621,2017-05-20,1702,7,1,-75.0,842.0
1593,1622,2017-05-21,1703,7,1,-76.0,843.0
1594,1625,2017-05-22,1704,8,1,-77.0,844.0
1595,1623,2017-05-23,1705,8,1,-76.0,845.0
1596,1624,2017-05-24,1706,9,1,-77.0,845.0
1597,1627,2017-05-26,1707,9,1,-77.0,846.0
1598,1626,2017-05-27,1708,10,1,-76.0,846.0
1599,1628,2017-05-28,1709,10,1,-76.0,847.0
1600,1629,2017-05-29,1710,11,1,-76.0,848.0
1601,1631,2017-05-30,1711,11,1,-75.0,848.0
1602,1630,2017-05-31,1712,12,1,-77.0,849.0
1603,1635,2017-06-01,1713,12,1,-75.0,850.0
1604,1633,2017-06-02,1714,13,1,-77.0,849.0
1605,1634,2017-06-03,1715,13,1,-77.0,851.0
1606,1632,2017-06-04,1716,14,1,-76.0,850.0
1607,1636,2017-06-05,1717,14,1,-76.0,851.0
1608,1637,2017-06-06,1718,15,1,-77.0,852.0
1609,1639,2017-06-07,1719,15,1,-77.0,853.0
1610,1638,2017-06-08,1720,16,1,-76.0,853.0
1611,1641,2017-06-09,1721,16,1,-76.0,852.0
1612,1640,2017-06-10,1722,17,1,-77.0,854.0
1613,1642,2017-06-11,1723,17,1,-76.0,854.0
1614,1643,2017-06-12,1724,18,1,-77.0,856.0
1615,1644,2017-06-13,1725,18,1,-79.0,857.0
1616,1645,2017-06-14,1726,19,1,-76.0,855.0
1617,1647,2017-06-15,1727,19,1,-75.0,855.0
1618,1648,2017-06-16,1728,20,1,-76.0,855.0
1619,1646,2017-06-17,1729,20,1,-76.0,858.0
1620,1650,2017-06-18,1730,21,1,-77.0,858.0
1621,1649,2017-06-19,1731,21,1,-78.0,857.0
1622,1651,2017-06-20,1732,22,1,-78.0,858.0
1623,1652,2017-06-21,1733,22,1,-77.0,859.0
1624,1655,2017-06-22,1734,23,1,-78.0,859.0
1625,1653,2017-06-23,1735,23,1,-78.0,861.0
1626,1654,2017-06-24,1736,23,1,-77.0,860.0
1627,1656,2017-06-25,1737,24,1,-78.0,861.0
1628,1657,2017-06-26,1738,24,1,-78.0,861.0
1629,1658,2017-06-27,1739,25,1,-77.0,861.0
1630,1662,2017-06-28,1740,25,1,-78.0,861.0
1631,1659,2017-06-29,1741,26,1,-78.0,863.0
1632,1661,2017-06-30,1742,26,1,-77.0,865.0
1633,1660,2017-07-02,1743,27,1,-78.0,863.0
1634,1663,2017-07-03,1744,27,1,-78.0,863.0
1635,1664,2017-07-04,1745,28,1,-78.0,865.0
1636,1665,2017-07-05,1746,28,1,-76.0,866.0
1637,1666,2017-07-06,1747,29,1,-79.0,866.0
1638,1668,2017-07-07,1748,29,1,-79.0,867.0
